1,1,159,197,415,246,0.9016406642217636,pedestrian,0.8808098076643588
1,2,122,400,254,293,0.810334939815776,pedestrian,0.8161529152967897
1,3,197,469,394,239,0.9395035374953653,pedestrian,0.5753587719827147
1,4,186,325,463,348,0.9575076414441159,pedestrian,0.6629794526009424
1,5,419,402,345,450,0.9428503138419146,pedestrian,0.6743329936458646
2,1,198,307,488,416,0.8192716063262566,pedestrian,0.75887567526374
2,2,359,128,266,475,0.9205648357722316,pedestrian,0.6045358103688568
2,3,414,477,297,98,0.7685650065391899,pedestrian,0.587477463547968
2,4,111,499,59,368,0.7725556872701355,pedestrian,0.5465513839029497
2,5,139,452,36,159,0.8899304371819804,pedestrian,0.6695148955243504
3,1,98,146,303,207,0.9691330779857732,pedestrian,0.9435432121325587
3,2,119,160,407,115,0.7252419894985146,pedestrian,0.5808143570473069
3,3,421,103,339,253,0.7027591154849888,pedestrian,0.5507357714330161
3,4,98,152,348,401,0.7482424154252496,pedestrian,0.7743668946832931
3,5,309,162,207,444,0.7672807928381679,pedestrian,0.8560896106737679
4,1,288,397,276,303,0.9239474215354072,pedestrian,0.8248164495236073
4,2,134,194,400,127,0.8704925810006414,pedestrian,0.5468373839140462
4,3,370,469,374,21,0.7731968930137251,pedestrian,0.9865052773762228
4,4,364,50,437,263,0.8893415877991788,pedestrian,0.8974056517708242
4,5,285,96,283,366,0.8477553081456591,pedestrian,0.5976214938990223
5,1,316,303,146,3,0.7072947899294361,pedestrian,0.822736147953584
5,2,16,171,219,157,0.9861785731007762,pedestrian,0.9574321951102243
5,3,98,379,232,36,0.9784955687763176,pedestrian,0.7140920741586572
5,4,180,94,98,187,0.955902836640208,pedestrian,0.6472244460347929
5,5,468,415,470,160,0.7950766015468833,pedestrian,0.5847463733430462
6,1,280,489,222,53,0.9088089390024918,pedestrian,0.7850305850446825
6,2,279,113,287,430,0.997016155031279,pedestrian,0.570042007618262
6,3,154,489,385,473,0.9222305853262613,pedestrian,0.848507870497634
6,4,298,245,175,38,0.788077553279348,pedestrian,0.9046805777392568
6,5,354,305,408,407,0.9739721657669413,pedestrian,0.7556711994304689
7,1,312,35,172,19,0.8949891792333295,pedestrian,0.8509834386288517
7,2,399,141,459,370,0.8013985470554608,pedestrian,0.687791476319972
7,3,321,287,214,446,0.7107826821390226,pedestrian,0.7327990090662301
7,4,62,189,124,149,0.8772499781707033,pedestrian,0.5152501249695247
7,5,179,169,325,270,0.8080571924233788,pedestrian,0.5635302563259423
8,1,480,263,52,59,0.7647463082490529,pedestrian,0.8114452379095001
8,2,195,261,364,479,0.8594063894704443,pedestrian,0.7703175608050532
8,3,310,423,307,143,0.9927556238387604,pedestrian,0.7581501741505976
8,4,157,146,144,119,0.7812496753786222,pedestrian,0.719485710352818
8,5,438,345,228,473,0.9887945244033776,pedestrian,0.9179900602561029
9,1,392,395,128,57,0.9745641182879441,pedestrian,0.7211761148655522
9,2,95,125,117,47,0.7548597991321921,pedestrian,0.9673069986698548
9,3,384,271,188,486,0.89713339855005,pedestrian,0.7178364493389455
9,4,348,246,450,75,0.8698111631482228,pedestrian,0.5793232238212456
9,5,85,184,284,461,0.7275397197440325,pedestrian,0.5470784941342801
10,1,93,237,445,499,0.7525990809668015,pedestrian,0.5085805509158752
10,2,473,431,340,38,0.8038912963268202,pedestrian,0.7323369064698058
10,3,356,22,249,9,0.9847437194774158,pedestrian,0.9433401936490238
10,4,179,222,393,249,0.9800308924238449,pedestrian,0.7505199419576296
10,5,324,492,3,15,0.7211706242201289,pedestrian,0.8212096391031578
