1,1,102,435,348,270,1,pedestrian,0.8659969709057025
1,2,188,20,102,121,1,pedestrian,0.5779972601681014
1,3,330,458,87,372,1,pedestrian,0.8005575058716043
1,4,151,130,149,308,1,pedestrian,0.9849549260809971
1,5,491,413,293,385,1,pedestrian,0.5909124836035503
2,1,276,160,459,313,1,pedestrian,0.762378215816119
2,2,235,344,48,474,1,pedestrian,0.8059264473611898
2,3,169,475,187,463,1,pedestrian,0.6163856702151521
2,4,445,174,445,50,1,pedestrian,0.6912309956335814
2,5,243,319,130,484,1,pedestrian,0.8037724259507192
3,1,20,328,166,273,1,pedestrian,0.9744427686266666
3,2,315,13,241,264,1,pedestrian,0.5079831261101071
3,3,385,339,91,366,1,pedestrian,0.8416317594127292
3,4,427,263,430,34,1,pedestrian,0.954660201039391
3,5,419,49,359,387,1,pedestrian,0.6558555380447055
4,1,389,53,105,259,1,pedestrian,0.5924272277627636
4,2,190,401,217,43,1,pedestrian,0.9697494707820946
4,3,445,483,269,350,1,pedestrian,0.9609371175115584
4,4,455,461,214,251,1,pedestrian,0.522613644455269
4,5,295,212,207,236,1,pedestrian,0.6356745158869479
5,1,52,279,409,216,1,pedestrian,0.6404672548436904
5,2,379,492,40,156,1,pedestrian,0.9010984903770198
5,3,64,344,326,8,1,pedestrian,0.8861223846483287
5,4,491,135,471,62,1,pedestrian,0.9077307142274171
5,5,80,391,162,418,1,pedestrian,0.8856351733429728
6,1,260,489,230,40,1,pedestrian,0.9574798377718904
6,2,200,327,267,417,1,pedestrian,0.5477050582452057
6,3,406,61,215,292,1,pedestrian,0.864803089169032
6,4,359,213,474,34,1,pedestrian,0.7361074625809747
6,5,100,430,461,130,1,pedestrian,0.8803925243084487
7,1,217,254,397,358,1,pedestrian,0.5202167947692157
7,2,206,14,345,41,1,pedestrian,0.7196682509328851
7,3,178,62,351,230,1,pedestrian,0.7376851115910559
7,4,95,387,221,484,1,pedestrian,0.6246461145744375
7,5,236,142,170,28,1,pedestrian,0.6143990827458112
8,1,159,326,186,242,1,pedestrian,0.5806106436270022
8,2,65,169,44,61,1,pedestrian,0.8167018782552118
8,3,133,283,27,107,1,pedestrian,0.5932850294430179
8,4,285,445,330,127,1,pedestrian,0.9037200775820313
8,5,347,472,230,189,1,pedestrian,0.5550259622638384
9,1,376,282,445,120,1,pedestrian,0.9090073829612466
9,2,232,258,358,197,1,pedestrian,0.7553736512887829
9,3,136,317,164,224,1,pedestrian,0.5599326836668415
9,4,171,151,462,314,1,pedestrian,0.6616014660103776
9,5,95,471,232,179,1,pedestrian,0.681814801189647
10,1,496,441,51,267,1,pedestrian,0.6258911479126821
10,2,385,386,112,100,1,pedestrian,0.6424202471887338
10,3,80,186,112,1,1,pedestrian,0.7513395116144308
10,4,53,342,484,223,1,pedestrian,0.9541329429833268
10,5,402,125,129,52,1,pedestrian,0.7447263801387816
